"020040210016";0;3;"2021-06-24";4;"2050";3;0;4;2;1;2;204;0;0;0;1650;2;3;01;4;3;1;3;3;0;0;00;1;01;00;;3;38;"16";1;1;1;0;1;3;1500;2;1;1;"-734787,92";"-1111768,8";"-734787,92";"-1111768,8";"-734784,281";"-1111768,896";"";"";"";"dálnice";"D3";"1310599";"";"Souhlasnısesmìremúseku";"Pomalı";"552461";"";"GN_V0.1UIR-ADR_410";"2"
"020040210017";0;3;"2021-06-26";6;"1710";0;0;0;2;7;0;609;0;0;0;2800;2;1;01;1;1;1;3;1;0;0;00;1;01;00;;5;35;"12";3;0;1;0;1;1;300;3;1;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2"
"020040210018";0;3;"2021-06-28";1;"2560";3;0;4;2;1;0;511;0;0;0;400;2;1;01;1;1;1;3;3;0;0;00;1;01;00;;17;;"XX";;;;;;;0;;;;"-734686,452";"-1115238,013";"-734686,452";"-1115238,013";"-734681,668";"-1115237,601";"";"";"";"dálnice";"D3";"1315499";"";"Souhlasnısesmìremúseku";"Pomalı";"562955";"";"GN_V0.1UIR-ADR_410";"2"
"020040210020";2;603;"2021-07-05";1;"0419";3;0;9;2;1;2;510;0;0;0;1380;2;1;01;1;6;1;1;3;0;0;00;3;01;00;;3;13;"16";1;0;1;0;1;1;1200;2;1;1;"-735331,431";"-1114863,567";"-735331,431";"-1114863,567";"-735327,838";"-1114862,427";"Košín";"";"";"silnice2.tøídy";"603";"509784";"";"Souhlasnısesmìremúseku";"Pomalı";"562955";"";"GN_V0.1UIR-ADR_410";"1"
"020040210022";0;3;"2021-07-23";5;"1212";3;0;3;2;1;2;508;0;0;0;1300;2;1;01;1;1;1;3;8;0;0;00;1;01;00;;3;35;"17";1;0;2;1;1;3;1000;2;2;1;"-732790,949";"-1118446,434";"-732803,84";"-1118455,028";"-732803,978";"-1118455,071";"";"";"";"dálnice";"D3";"1423712";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
"020040210023";0;3;"2021-07-25";0;"0710";3;0;3;2;1;2;508;0;0;0;600;2;1;01;1;1;1;1;3;0;0;00;1;01;00;;3;39;"04";7;0;1;0;1;1;500;3;2;1;"-732602,895";"-1119174,313";"-732602,895";"-1119174,313";"-732595,217";"-1119171,882";"";"";"";"dálnice";"D3";"3717842";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
"020040210024";0;3;"2021-08-06";5;"0635";3;0;4;2;1;2;511;0;0;0;3000;2;1;01;1;1;1;3;3;0;0;00;1;02;00;;5;07;"14";3;0;1;0;1;3;2000;2;1;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2"
"020040210025";0;3;"2021-08-07";6;"1050";1;4;0;1;1;2;201;0;0;1;3000;2;1;01;1;1;1;3;3;0;0;00;1;02;00;;5;44;"19";3;0;1;1;1;3;1500;2;1;1;"-731572,286";"-1121761,803";"-731572,286";"-1121761,803";"-731579,535";"-1121764,085";"";"";"";"dálnice";"D3";"2604467";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
"020040210026";0;3;"2021-08-09";1;"1612";1;4;0;2;1;2;508;0;0;0;1300;2;1;01;1;1;1;3;1;0;0;00;1;02;00;;3;39;"13";3;0;1;0;1;1;500;3;1;1;"-732350,282";"-1119840,908";"-732363,755";"-1119802,106";"-732363,478";"-1119801,987";"";"";"";"dálnice";"D3";"3665623";"";"Souhlasnısesmìremúseku";"Pomalı";"552046";"";"GN_V0.1UIR-ADR_410";"2"
"020040210027";0;3;"2021-08-22";0;"1725";3;0;4;2;1;2;204;0;0;0;2000;2;3;01;4;3;1;3;3;0;0;00;1;01;00;;3;39;"19";3;1;1;0;1;3;1500;2;1;1;"-732346,331";"-1119851,871";"-732346,331";"-1119851,871";"-732342,335";"-1119850,003";"";"";"";"";"";"";"";"";"";"";"";"GN_V0.1UIR-ADR_410";"2"
