"002100190002";2;0;0;00
"002100190074";1;4;3;04
"002100190126";1;9;3;00
"002100190134";5;0;0;00
"002100190147";5;0;0;00
"002100190188";1;4;3;00
"002100190238";1;0;0;00
"002100190250";2;2;3;00
"002100190291";1;1;1;04
"002100190294";3;1;1;01
"002100190306";1;1;1;01
"002100190308";1;2;4;00
"002100190310";2;1;1;04
"002100190326";2;1;1;04
"002100190327";1;2;3;00
"002100190354";1;9;3;04
"002100190361";2;1;1;04
"002100190407";2;1;1;04
"002100190425";5;0;0;00
"002100190471";2;2;3;03
"002100190486";2;2;3;00
"002100190605";1;9;3;00
"002100190609";5;0;0;00
"002100190631";2;1;1;04
"002100190645";2;3;4;02
"002100190678";1;1;1;04
"002100190681";3;2;6;02
"002100190682";2;1;1;01
"002100190683";2;1;1;01
"002100190684";2;9;6;04
"002100190734";5;0;0;00
"002100190736";3;1;1;04
"002100190745";2;9;5;00
"002100190838";5;0;0;00
"002100190841";2;1;1;04
"002100190843";2;1;1;00
"002100190870";2;9;3;02
"002100190976";2;2;3;02
"002100191063";5;0;0;00
"002100191077";1;2;3;04
"002100191085";2;1;1;00
"002100191108";2;2;3;00
"002100191119";3;2;0;10
"002100191122";5;0;0;00
"002100191124";5;0;0;00
"002100191145";1;1;1;04
"002100191185";1;2;3;00
"002100191197";2;1;1;04
"002100191204";5;0;0;00
"002100191280";1;1;1;07
"002100191321";1;1;1;04
"002100191324";2;1;1;01
"002100191377";2;1;1;04
"002100191390";2;1;1;01
"002100191412";2;1;1;04
"002100191510";3;2;3;00
"002100191532";5;0;0;00
"002100191548";1;1;1;00
"002100191593";2;1;1;04
"002100191594";1;9;7;00
"002100191601";2;1;1;04
"002100191612";2;1;1;00
"002100191657";5;0;0;00
"002100191663";1;2;3;03
"002100191705";2;9;3;03
"002100191821";2;1;1;04
"002100191937";1;9;4;00
"002100191945";2;1;1;01
"002100191977";3;1;2;10
"002100192011";2;4;1;04
"002100192064";1;5;6;07
"002100192080";1;1;1;01
"002100192089";2;1;1;04
"002100192205";1;1;1;07
"002100192211";1;9;3;03
"002100192225";2;1;1;07
"002100192296";5;0;0;00
"002100192393";5;0;0;00
"002100192412";1;1;1;00
"002100192498";1;9;3;00
"002100192512";1;9;3;00
"002100192537";2;2;4;02
"002100192605";2;1;1;00
"002100192614";3;2;3;02
"002100192616";1;1;1;01
"002100192669";2;1;7;09
"002100192675";2;1;3;02
"002100192722";1;2;3;03
"002100192730";1;2;1;10
"002100192742";3;2;3;00
"002100192751";2;1;1;00
"002100192783";1;9;3;10
"002100192809";2;1;1;04
"002100192831";2;1;1;01
"002100192842";5;0;0;00
"002100192868";5;0;0;00
"002100192942";5;0;0;00
"002100192971";1;1;1;04
"002100192997";2;1;3;04
"002100193001";2;1;1;04
"002100193055";5;0;0;00
"002100193062";3;1;1;01
"002100193150";1;9;3;02
"002100193190";3;3;2;00
"002100193216";2;9;7;00
"002100193248";2;2;0;00
"002100193336";2;1;1;04
"002100193400";1;1;1;04
"002100193541";2;1;1;04
"002100193586";2;2;3;02
"002100193605";5;0;0;00
"002100193633";1;1;1;04
"002100193644";1;1;1;04
"002100193710";2;2;3;00
"002100193741";2;1;1;10
"002100193757";1;1;1;04
"002100193762";5;0;0;00
"002100193794";3;2;3;00
